Filesystem Size Used Avail Use% Mounted on

devtmpfs 7.8G 0 7.8G 0% /dev
overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/f988d46df874f240072455dae0cf55026437ee2e9e933379c5edf204ae4fc0bf/merged

tmpfs 15G 0 15G 0% /var/lib/kubelet/pods/1c358f7a-1470-4969-8a13-f1c596d57194/volumes/kubernetes.io~secret/tls-assets

tmpfs 15G 8.0K 15G 1% /var/lib/kubelet/pods/1c358f7a-1470-4969-8a13-f1c596d57194/volumes/kubernetes.io~downward-api/istio-podinfo

tmpfs 15G 24K 15G 1% /var/lib/kubelet/pods/1c358f7a-1470-4969-8a13-f1c596d57194/volumes/kubernetes.io~empty-dir/istio-envoy

tmpfs 15G 4.0K 15G 1% /var/lib/kubelet/pods/1c358f7a-1470-4969-8a13-f1c596d57194/volumes/kubernetes.io~secret/config-volume

tmpfs 15G 4.0K 15G 1% /var/lib/kubelet/pods/1c358f7a-1470-4969-8a13-f1c596d57194/volumes/kubernetes.io~projected/istio-token

tmpfs 15G 12K 15G 1% /var/lib/kubelet/pods/1c358f7a-1470-4969-8a13-f1c596d57194/volumes/kubernetes.io~projected/kube-api-access-7ks9q
/dev/nvme2n1 50G 32K 50G 1% /var/lib/kubelet/plugins/kubernetes.io/csi/pv/pvc-708523c5-5803-43cb-b5f7-799bb23d42ad/globalmount

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/0e3eda1d06f3593638b62c78da0fb81fee2e2f5f2187f14e78570d6805c175e2/merged

shm 64M 0 64M 0% /var/lib/docker/containers/773d02e95fe5d14a30dd68990f3e00802545828e9970d90df95b79fa85780d02/mounts/shm

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/2493967cf5c4d85d7e182db8e50942dbb9514171165578ead2907002b6c5e77a/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/215d799824d6e816189fe93aa8251fbe8d1d65e496ed5549ac1acd7e02cc4d88/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/0670b7dc3a7c95e4742a2d21fad1ae3be2595cc17f397b81de8c8cdebe68a4c1/merged

tmpfs 15G 24K 15G 1% /var/lib/kubelet/pods/3582c3ce-7a96-45f1-8378-701057a126ef/volumes/kubernetes.io~empty-dir/istio-envoy

tmpfs 15G 8.0K 15G 1% /var/lib/kubelet/pods/3582c3ce-7a96-45f1-8378-701057a126ef/volumes/kubernetes.io~downward-api/istio-podinfo

tmpfs 15G 12K 15G 1% /var/lib/kubelet/pods/3582c3ce-7a96-45f1-8378-701057a126ef/volumes/kubernetes.io~projected/kube-api-access-822b2

tmpfs 15G 4.0K 15G 1% /var/lib/kubelet/pods/3582c3ce-7a96-45f1-8378-701057a126ef/volumes/kubernetes.io~projected/istio-token

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/ffc9ec2cc9a0f2f05c2f99d3631e3ce94c414ffc9d280c1a0dbe3e116a5fee18/merged

shm 64M 0 64M 0% /var/lib/docker/containers/f42d0e705f339b77f645696f1e34bcfcd8b726eed5a38fb007c2ee56ee19d39c/mounts/shm

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/b30e86df8581a5ee07b9979635bfcbdc47b933f6c77df0ddd497b1c3bf0e0dbf/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/4a77cfc04e0c1b21c2d42ea574429a0829ac732e08b6d6bac04ad95635054b9f/merged
